2020-03-04 00:00:01.926678+00:00,cla required,8115,"hold: cla required, reviewed:commented",396
2020-03-04 00:00:01.926678+00:00,cla required,8089,"hold: cla required, ",403
2020-03-04 00:00:01.926678+00:00,cla required,8031,"hold: cla required, reviewed:changes_requested",412
2020-03-04 00:00:01.926678+00:00,cla required,8015,"hold: cla required, ",408
2020-03-04 00:00:01.926678+00:00,cla required,7752,"hold: cla required, ",452
2020-03-04 00:00:01.926678+00:00,cla required,7709,"hold: cla required, ",342
2020-03-04 00:00:01.926678+00:00,cla required,7629,"branch: 1.1.1, branch: master, hold: cla required, reviewed:approved",152
2020-03-04 00:00:01.926678+00:00,cla required,7627,"hold: cla required, ",475
2020-03-04 00:00:01.926678+00:00,cla required,7238,"hold: cla required, reviewed:commented",479
2020-03-04 00:00:01.926678+00:00,cla required,6932,"hold: cla required, milestone:Assessed, ",568
2020-03-04 00:00:01.926678+00:00,cla required,6356,"hold: cla required, milestone:Assessed, reviewed:commented",646
2020-03-04 00:00:01.926678+00:00,cla required,6279,"hold: cla required, milestone:Assessed, reviewed:commented",515
2020-03-04 00:00:01.926678+00:00,cla required,5221,"hold: cla required, milestone:Assessed, reviewed:commented",615
2020-03-04 00:00:01.926678+00:00,cla required,4612,"hold: cla required, milestone:Assessed, reviewed:commented",667
2020-03-04 00:00:01.926678+00:00,cla required,4338,"hold: cla required, milestone:Assessed, ",130
2020-03-04 00:00:01.926678+00:00,cla required,3969,"hold: cla required, milestone:Assessed, reviewed:dismissed",130
2020-03-04 00:00:01.926678+00:00,cla required,3353,"hold: cla required, milestone:Assessed, ",1009
2020-03-04 00:00:01.926678+00:00,waiting for reporter,10787,"branch: master, reviewed:changes_requested",54
2020-03-04 00:00:01.926678+00:00,waiting for reporter,10724,reviewed:changes_requested,48
2020-03-04 00:00:01.926678+00:00,waiting for reporter,10590,reviewed:changes_requested,57
2020-03-04 00:00:01.926678+00:00,waiting for reporter,9575,reviewed:changes_requested,204
2020-03-04 00:00:01.926678+00:00,waiting for reporter,9461,reviewed:changes_requested,217
2020-03-04 00:00:01.926678+00:00,waiting for reporter,9427,reviewed:changes_requested,224
2020-03-04 00:00:01.926678+00:00,waiting for reporter,9243,reviewed:changes_requested,226
2020-03-04 00:00:01.926678+00:00,waiting for reporter,9240,reviewed:changes_requested,251
2020-03-04 00:00:01.926678+00:00,waiting for reporter,8992,reviewed:changes_requested,168
2020-03-04 00:00:01.926678+00:00,waiting for reporter,8962,reviewed:changes_requested,287
2020-03-04 00:00:01.926678+00:00,waiting for reporter,8730,reviewed:changes_requested,265
2020-03-04 00:00:01.926678+00:00,waiting for reporter,8674,reviewed:changes_requested,320
2020-03-04 00:00:01.926678+00:00,waiting for reporter,7961,reviewed:changes_requested,422
2020-03-04 00:00:01.926678+00:00,waiting for reporter,7432,reviewed:changes_requested,501
2020-03-04 00:00:01.926678+00:00,waiting for reporter,2986,"milestone:Assessed, reviewed:changes_requested",130
